2021-05-01 13:30:50 INFO  EmployeeServiceImpl:33 - CHECK EMPLOYEE EXISTS SERVICE TO b@trial.com
2021-05-01 13:30:51 INFO  EmployeeRepositoryJdbc:71 - AN EMPLOYEE WITH THIS USERNAME: b@trial.com, IS NOT FOUND IN RDS
2021-05-01 13:30:51 INFO  EmployeeControllerImpl:102 - AN EMPLOYEE WITH THIS USERNAME: b@trial.com, DOES NOT EXIST
2021-05-01 13:30:51 INFO  EmployeeServiceImpl:39 - REGISTRATION SERVICE TO b@trial.com
2021-05-01 13:30:52 INFO  EmployeeRepositoryJdbc:134 - AN EMPLOYEE IS INSERTED TO THE RDS
2021-05-01 13:30:52 INFO  EmployeeControllerImpl:75 - REGISTRATION SUCCESSFUL BY b@trial.com
2021-05-01 13:31:05 INFO  EmployeeServiceImpl:58 - LOGIN SERVICE TO b@trial.com
2021-05-01 13:31:06 INFO  EmployeeRepositoryJdbc:196 - AN EMPLOYEE IS AUTHENTICATED
2021-05-01 13:31:06 INFO  EmployeeControllerImpl:50 - AN EMPLOYEE WITH THIS USERNAME: b@trial.com, JUST LOGGEDIN
2021-05-01 13:31:22 INFO  EmployeeServiceImpl:65 - REIMBURSEMENET SUBMISSION SERVICE TO b@trial.com
2021-05-01 13:31:23 INFO  ReimbursmentRepositoryJdbc:275 - A REIMBURSEMENT IS INSERTED TO THE RDS
2021-05-01 13:31:23 INFO  EmployeeControllerImpl:150 - REIMBURSEMENET SUBMISSION SUCCESSFUL: 4daa7bb4-6b0a-4e49-bd85-1645f6ca9e6b BY b@trial.com
2021-05-01 13:33:18 INFO  EmployeeServiceImpl:71 - SHOW PREVIOUS AND ALL AND ALL REIMBURSEMENETS SERVICE TO b@trial.com
2021-05-01 13:33:18 INFO  ReimbursmentRepositoryJdbc:94 - REIMBURSEMENTS OF EMPLOYEE WITH THIS USERNAME: B@TRIAL.COM, WERE FOUND IN RDS
2021-05-01 13:33:18 INFO  EmployeeControllerImpl:165 - LIST OF EMPLOYEE PREVIOUS REIMBURSEMENETS IS VIEWED
2021-05-01 13:34:49 INFO  EmployeeServiceImpl:71 - SHOW PREVIOUS AND ALL AND ALL REIMBURSEMENETS SERVICE TO b@trial.com
2021-05-01 13:34:49 INFO  ReimbursmentRepositoryJdbc:94 - REIMBURSEMENTS OF EMPLOYEE WITH THIS USERNAME: B@TRIAL.COM, WERE FOUND IN RDS
2021-05-01 13:34:49 INFO  EmployeeControllerImpl:165 - LIST OF EMPLOYEE PREVIOUS REIMBURSEMENETS IS VIEWED
2021-05-01 13:36:02 INFO  EmployeeServiceImpl:58 - LOGIN SERVICE TO b@trial.com
2021-05-01 13:36:03 INFO  EmployeeRepositoryJdbc:196 - AN EMPLOYEE IS AUTHENTICATED
2021-05-01 13:36:03 INFO  EmployeeControllerImpl:50 - AN EMPLOYEE WITH THIS USERNAME: b@trial.com, JUST LOGGEDIN
2021-05-01 13:36:03 INFO  EmployeeServiceImpl:71 - SHOW PREVIOUS AND ALL AND APPROVED REIMBURSEMENETS SERVICE TO b@trial.com
